รหัสสาขา,ชื่อสาขา,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,สถานะ
CJX00211,ตลาดเกียรติปรุง บ้านนา,บ้านนา,นครนายก,14.25992,101.068847,ยังไม่ลงเสาเข็ม
CJX00212,ราชพฤกษ์-เลียบคลองเกาะเกรียง,ลาดหลุมแก้ว,ปทุมธานี,13.97997,100.467283,ยังไม่ลงเสาเข็ม
CJX00213,คลองใหญ่ แหลมงอบ,แหลมงอบ,ตราด,12.188207,102.385181,Prospect
CJX00214,นิคมพัฒนา ซอย 3,นิคมพัฒนา,ระยอง,12.845374,101.177489,Prospect
CJX00215,ลำลูกกาคลอง 14,ลำลูกกา,ปทุมธานี,13.964596,100.911429,ยังไม่ลงเสาเข็ม
CJX00216,คลองหกวา(ดอนฉิมพลี),องครักษ์,นครนายก,13.971959,100.965795,Chk#2 (เซ็นต์สัญญาเช่า)
CJX00218,คลองหกตะวันตก 57,คลองหลวง,ปทุมธานี,14.128667,100.731306,Prospect
CJX00219,พระยาประเสริฐ,วังทองหลาง,กรุงเทพมหานคร,13.770059,100.613199,ยังไม่ลงเสาเข็ม
CJX00220,เอื้ออาทรไร่กล้วย,ศรีราชา,ชลบุรี,13.161807,100.960826,ยังไม่ลงเสาเข็ม
CJX00221,เพชรเกษม 87,กระทุ่มแบน,สมุทรสาคร,13.703496,100.324239,ยังไม่ลงเสาเข็ม
CJX00222,ซอยธนสิทธ์ (บางปลา 2),บางพลี,สมุทรปราการ,13.593339,100.72221,ยังไม่ลงเสาเข็ม
CJX00223,บางพลีน้อย,บางบ่อ,สมุทรปราการ,13.578744,100.904507,ยังไม่ลงเสาเข็ม
CJX00224,ตลาดนัดบ้านยาง,อู่ทอง,สุพรรณบุรี,14.316809,99.951924,ยังไม่ลงเสาเข็ม
CJX00225,ตลาดนัดหัวโค้งท่าเรือแกลง,เมืองระยอง,ระยอง,12.640271,101.499168,ยังไม่ลงเสาเข็ม
CJX00226,ปะตง สอยดาว ,สอยดาว,จันทบุรี,13.128464,102.215293,Prospect
CJX00227,หนองชาก-หมู่บ้านพฤกษาแลนด์,บ้านบึง,ชลบุรี,13.294121,101.176047,ยังไม่ลงเสาเข็ม
CJX00228,เฉลิมพระเกียรติ 22,ประเวศ,กรุงเทพมหานคร,13.676757,100.663404,Prospect
CJX00229,เฉลิมพระเกียรติ 22 แยก 12,ประเวศ,กรุงเทพมหานคร,13.675183,100.663989,ยังไม่ลงเสาเข็ม
CJX00230,แยกกะเฉด,เมืองระยอง,ระยอง,12.663403,101.504296,ยังไม่ลงเสาเข็ม
CJX00231,ซ.คลองสี่ ตะวันออก 54,คลองหลวง,ปทุมธานี,14.104083,100.687167,Prospect
CJX00232,ถนนไมตรีจิต,คลองสามวา,กรุงเทพมหานคร,13.918272,100.780819,Prospect
CJX00233,ทุ่งกลม-ตาลหมัน 9,บางละมุง,ชลบุรี,12.917255,100.927964,Prospect
CJX00234,ซอยวัดบุณยประดิษฐ์,บางแค,กรุงเทพมหานคร,13.725474,100.389135,Prospect
CJX00236,ตลาดสดสะตอน,สอยดาว,จันทบุรี,13.145419,102.311063,Prospect
CJX00237,เปี่ยมลาภ,ปลวกแดง,ระยอง,12.972428,101.155039,Prospect
