ชื่อที่พัก,ราคาต่อคืน,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด
บ้านสวน รีสอร์ท ผักไห่,560,ผักไห่,พระนครศรีอยุธยา,14.49907,100.386106
บ้านสวน รีสอร์ท แอนด์ โฮมสเตย์ ระยอง,470,แกลง,ระยอง,12.770265,101.729382
บ้านสวนครูเสริฐ,560,ศรีสวัสดิ์,กาญจนบุรี,14.441377,99.131227
บ้านสวนจันทร์ รีสอร์ท,470,เมือง,กาญจนบุรี,14.048513,99.486749
บ้านสวนชมจันท์ รีสอร์ท จันทบุรี,560,เมือง,จันทบุรี,12.594106,102.14768
บ้านสวนดอกไม้,500,กบินทร์บุรี,ปราจีนบุรี,13.9840131,101.762219
บ้านสวนฟ้าใส อพาร์ทเม้นท์,470,เมือง,จันทบุรี,12.641917,102.088807
บ้านสวนรีสอร์ท สระโบสถ์,560,สระโบสถ์,ลพบุรี,15.2131347,100.8401519
บ้านสวนรีสอร์ท แอนด์ กาแฟสด,560,เมือง,ชัยนาท,15.160323,100.133539
บ้านสวนลุงป้อมสะพานมอญ,560,สังขละบุรี,กาญจนบุรี,15.14149,98.450129
บ้านสวนสุขใจ แอนด์ รีสอร์ท,560,ลาดบัวหลวง,พระนครศรีอยุธยา,14.178149,100.298734
บ้านสวนแสนสุข 24,430,พนัสนิคม,ชลบุรี,13.361783,101.193615
บ้านสวนอินทรา รีสอร์ท แอนด์ คาเฟ่,560,เมือง,จันทบุรี,12.672616,102.081445
บ้านสวนโฮมสเตย์ นครชัยศรี,560,นครชัยศรี,นครปฐม,13.7901756,100.2323484
บ้านสวนโฮมสเตย์ วัดกลาง บางพระ,560,นครชัยศรี,นครปฐม,13.8828888,100.2065545
บ้านสวย รีสอร์ท,520,แกลง,ระยอง,12.7817196,101.6945291
บ้านสวย รีสอร์ท ท่าวุ้ง,560,ท่าวุ้ง,ลพบุรี,14.7795236,100.49169219999999
บ้านสวย อพาร์ทเมนท์ บางกระดี่,560,เมือง,ปทุมธานี,13.988744,100.550726
บ้านสายพวรรณ์ 1,560,เมือง,ระยอง,12.697659,101.176517
บ้านสายรุ้ง กระทุ่มแบน,530,กระทุ่มแบน,สมุทรสาคร,13.652867,100.281936
บ้านสิตตา รีสอร์ท,560,ดอนพุด,สระบุรี,14.588474,100.628175
บ้านแสนสบาย ราชบุรี,510,เมือง,ราชบุรี,13.527096,99.809189
บ้านแสนสบาย อยุธยา,560,บางปะอิน,พระนครศรีอยุธยา,14.23383,100.611447
บ้านแสนสุข นครปฐม,560,เมือง,นครปฐม,13.8336537,100.02584399999999
บ้านอยู่ดีมีสุข,480,เมือง,สุพรรณบุรี,14.471405,100.121075
บ้านอวยพร รีสอร์ท,480,ขลุง,จันทบุรี,12.449636,102.230129
บ้านอินแก้ว โฮมเตย์,560,แกลง,ระยอง,12.6962526,101.6335586
บานาน่า รีสอร์ท ศรีมหาโพธิ์,560,ศรีมหาโพธิ,ปราจีนบุรี,13.9296156,101.56284769999999
บาศญ่า แหลมฉบัง,560,ศรีราชา,ชลบุรี,13.105729,100.922014
บี สเปซ เรสซิเดนซ์,560,บางละมุง,ชลบุรี,12.906877,100.906811
บีเจ เฮาส์ แอนด์ อพาร์ทเมนท์,560,เมือง,สระบุรี,14.523825,100.925646
บีทูซี เรสซิเดนซ์,530,ศรีมหาโพธิ,ปราจีนบุรี,13.898687,101.586548
บีบี บ้านฉาง,560,บ้านฉาง,ระยอง,12.7157583,101.0482612
บีสลีป,540,พนัสนิคม,ชลบุรี,13.473484,101.170161
บีเอส ศรีราชา,560,ศรีราชา,ชลบุรี,13.148911,101.007489
บุญจิรา แมนชั่น,560,เมือง,ชลบุรี,13.418056,101.00211
บุญปลูก อพาร์ตเมนท์,560,เมือง,ชลบุรี,13.341208,100.963228
บุษราคัม แอนด์รีสอร์ท,560,ท่าม่วง,กาญจนบุรี,13.953163,99.654505
บูติก ฮอลิเดย์ พระราม2,560,บางขุนเทียน,กรุงเทพมหานคร,13.649618,100.444636
เบญจธารา บูติค เพลส รีสอร์ท,560,เมือง,ลพบุรี,14.82471,100.657649
เบดรูม 77 โฮเทล,560,เมือง,ระยอง,12.6810786,101.2578504
เบน เรสซิเดนซ์,560,บางขุนเทียน,กรุงเทพมหานคร,13.59309,100.387166
เบสส์แมนชั่น,560,บางพลี,สมุทรปราการ,13.658087113976649,100.7153754518468
แบร์ฮัท ชะอำ,560,ชะอำ,เพชรบุรี,12.781626,99.977901
ใบต้นแก้ว เพลส,560,ธัญบุรี,ปทุมธานี,13.988155,100.604019
ใบบัว รีสอร์ท,560,เมือง,สระบุรี,14.46227,100.93609
ใบไผ่ รีสอร์ท จันทบุรี,560,ขลุง,จันทบุรี,12.454483,102.252213
ปฏิคม อพาร์ทเม้นท์,560,เมือง,ฉะเชิงเทรา,13.669412,101.055376
ประกาย รีสอร์ท,560,โพธาราม,ราชบุรี,13.700955,99.871757
ประณต อพาร์ทเมนท์,560,เมือง,นนทบุรี,13.839439,100.455036
ประภากร เพลส,550,เมือง,ฉะเชิงเทรา,13.683021,101.064575
ปรางทิพย์ รีสอร์ท,560,มีนบุรี,กรุงเทพมหานคร,13.8361665,100.7807423
ปริญ,560,เมือง,ระยอง,12.681778,101.262743
ปรีชนา,560,เมือง,ระยอง,12.678974,101.24217
ปลายตะวัน อพาร์ทเมนท์,530,เมือง,สระบุรี,14.535979,100.889425
ปลายฟ้า รีสอร์ท ชัยนาท,540,เมือง,ชัยนาท,15.156032,100.136918
ป๊อบอินน์ มะขามล้ม,530,บางปลาม้า,สุพรรณบุรี,14.375497,100.061465
ปัทมา รีสอร์ท,450,หนองม่วง,ลพบุรี,15.251282,100.650268
ปันสุข โฮมสเตย์ ทุ่งพิชัย,560,ดอนตูม,นครปฐม,13.9275384,100.0662583
ป้าเกลียว โฮมสเตย์,560,มโนรมย์,ชัยนาท,15.305676,100.083083
ปาโต้ย เฮ้าส์,530,เมือง,ชลบุรี,13.398739,101.017637
เป็นหนึ่ง รีสอร์ต,560,นิคมพัฒนา,ระยอง,12.829831,101.204247
เปรมสุข,560,,ปราจีนบุรี,13.98252,101.769953
เปี่ยมสุข สวีท ปราจีนบุรี,500,เเมือง,ปราจีนบุรี,14.054748300000002,101.37628480000001
ผาสุข รีสอร์ท,560,ด่านมะขามเตี้ย,กาญจนบุรี,13.844953,99.407606
พงศธร แมนชั่น ลาดพร้าว,530,จตุจักร,กรุงเทพมหานคร,13.810956,100.563957
พจนา โฮมสเตย์,560,โพธาราม,ราชบุรี,13.623977,99.818066
พรไพลิน ศรีแดง,560,สังขละบุรี,กาญจนบุรี,15.156288,98.452147
พรีมิล่า เพลส,560,ปากเกร็ด,นนทบุรี,13.898276,100.554595
พฤกษิณี รีสอร์ท,490,บ้านบึง,ชลบุรี,13.231277,101.232488
พอช 39 โฮสเทล,560,เมือง,นครปฐม,13.8053103,100.05744609999999
พักอุ่น 2,560,พระพุทธบาท,สระบุรี,14.720021,100.81139
พัฒนเกศน์ เพลส อพาร์ทเม้น,560,บางกรวย,นนทบุรี,13.804072,100.474313
พันพิศาข์ รีสอร์ท,560,สามชุก,สุพรรณบุรี,14.780146,100.086106
พานทอง,560,เมือง,นครปฐม,13.8087883,100.0487503
พาราไดซ์ กาญจนบุรี,480,ท่าม่วง,กาญจนบุรี,13.979638,99.620574
พาราไดซ์ รีสอร์ท พัทยา,560,บางละมุง,ชลบุรี,12.976248,100.963359
พาราไดซ์ อินน์ แอนด์ ไดน์นิ่ง,530,หนองแค,สระบุรี,14.412441,100.833159
พาสุข รีสอร์ท,560,ท่ายาง,เพชรบุรี,12.980134,99.901032
พี 29 โฮเทล,560,หนองแขม,กรุงเทพมหานคร,13.6773,100.3393
พี แอล อพาร์ทเม้นต์,560,เมือง,ปทุมธานี,14.005327200000002,100.5213351
พี.เค. อพาร์ทเมนท์,560,หนองแค,สระบุรี,14.3320696,100.8733712
พี.พีเพลส อพาร์ทเม้นท์,450,บ้านฉาง,ระยอง,12.739611,101.04609
พี.เอส.อพาร์ทเม้นท์,560,เมือง,ระยอง,12.665307799999999,101.27632589999999
พีที รีสอร์ท สระบุรี,530,เฉลิมพระเกียรติ,สระบุรี,14.661407,100.88858
พีที เฮ้าส์ รีสอร์ท,560,เมือง,ระยอง,12.697659,101.176517
พีเอสเอ็ม แอท ดอนเมือง,560,,กรุงเทพมหานคร,13.9367272,100.5650927
พุราง ฮิลล์ รีสอร์ท,560,เมือง,กาญจนบุรี,14.050519,99.522046
พูนสุข กบินทร์บุรี,560,กบินทร์บุรี,ปราจีนบุรี,13.9901666,101.71778130000001
เพชรงาม โฮม รีสอร์ท,450,อู่ทอง,สุพรรณบุรี,14.395288,99.896847
เพ็ญสุข รีสอร์ท,560,นครชัยศรี,นครปฐม,13.882064,100.192291
เพลิน เพลิน รีสอร์ท บางเสร่,530,สัตหีบ,ชลบุรี,12.745065,100.903901
เพลินชีวา รีสอร์ท,560,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.337934,100.586352
เพลินพาดี รีสอร์ท,560,กบินบุรี,ปราจีนบุรี,13.9723448,101.75014039999999
เพียงพัก,550,บ้านโป่ง,ราชบุรี,13.803615,99.899287
โพธิ์งาม รีสอร์ท,530,ประจันตคาม,ปราจีนบุรี,14.064499,101.517798
ไพลิน รีสอร์ท ตราด,540,,ตราด,12.265154,102.50953
ฟ้าเคียงดาว แมนชั่น,560,เมือง,ปราจีนบุรี,14.1312177,101.3730335
ฟ้าใส รีสอร์ท ชำป่างาม,530,สนามชัยเขต,ฉะเชิงเทรา,13.690007,101.607442
ฟูลเฮ้าส์ กาญจนบุรี,560,เมือง,กาญจนบุรี,14.104057,99.415268
เฟิสท์ แมนชั่น ลำลูกกา คลอง 4,530,ลำลูกกา,ปทุมธานี,13.955307999999999,100.6841414
โฟกัสบ้านพัก,470,ท่าตะเกียบ,ฉะเชิงเทรา,13.380112,101.700025
ภพรัก รีสอร์ท ศรีราชา,450,ศรีราชา,ชลบุรี,13.14336,100.975571
ภักดี รีสอร์ท,530,บ่อพลอย,กาญจนบุรี,14.489185,99.483195
ภูมิคิมมินทร์ รีสอร์ท,560,เสนา,พระนครศรีอยุธยา,14.308324,100.374329
ภูร์ชรินท์รีสอร์ท ปราจีนบุรี,540,เมือง,ปราจีนบุรี,14.150817799999999,101.36116729999999
ภูรดา แมนชั่น บางแสน,560,เมือง,ชลบุรี,13.33264,100.972344
ภูวิว สอยดาว รีสอร์ท,560,สอยดาว,จันทบุรี,13.11276,102.232486
มรกต รีสอร์ท ลพบุรี,560,พัฒนานิคม,ลพบุรี,14.867752399999999,101.010735
มวกเหล็ก ฮอลิเดย์ อินน์,550,,สระบุรี,14.62851,101.180061
มะขามเฒ่า โฮมสเตย์,560,วัดสิงห์,ชัยนาท,15.263389,100.04994
มะไฟคู่ รีสอร์ท กาญจนบุรี,560,ทองผาภูมิ,กาญจนบุรี,14.73448,98.63798
มาย เพลส เพชรเกษม,560,หนองแขม,กรุงเทพมหานคร,13.704747,100.360661
มาย โฮม อพาร์ทเม้นท์,560,สามพราน,นครปฐม,13.723581,100.330684
มายรูม นครปฐม,560,เมือง,นครปฐม,13.818266,100.066925
มายรูม ราชบุรี,560,เมือง,ราชบุรี,13.534777,99.809521
มายองเซ่ รีสอร์ท,450,วังจันทร์,ระยอง,12.871435,101.567931
มาลี รีสอร์ท สระบุรี,560,เมือง,สระบุรี,14.525263,100.907745
มิดไนท์ อยุธยา,560,อุทัย,พระนครศรีอยุธยา,14.36342,100.662495
มินิรีสอร์ท จันทบุรี,480,เมือง,จันทบุรี,12.650391,102.124232
มิสเตอร์เน็กซ์ ตึก 1,470,เมือง,พระนครศรีอยุธยา,14.346436,100.589063
มิสเตอร์เน็กซ์ อาคารสีเขียว,520,เมือง,พระนครศรีอยุธยา,14.346436,100.589063
มีสุข รีสอร์ท,560,พัฒนานิคม,ลพบุรี,14.8433468,100.9286997
มีสุขเพลสแก่งคอย,560,แก่งคอย,สระบุรี,14.574282,100.965497
เมอร์รี่ รีสอร์ท,560,โพธาราม,ราชบุรี,13.712907,99.854431
เมืองจันท์,470,เมือง,จันทบุรี,12.609362,102.113955
โมเดิร์น เพลส ชลบุรี,480,เมือง,ชลบุรี,13.34604,100.964279
โมเดิร์นเพลส จอมบึง,530,จอมบึง,ราชบุรี,13.624902,99.584769
โมเดิร์นเลิฟ,520,พนัสนิคม,ชลบุรี,13.394076,101.260499
ไม้งาม รีสอร์ท,560,ศรีประจันต์,สุพรรณบุรี,14.580594,100.151768
ไมตรีกาญจน์,430,เมือง,กาญจนบุรี,14.02503,99.540059
ไม้สวน รีสอร์ท,560,ศรีราชา,ชลบุรี,13.096621,100.951966
ยินดี คอร์ท,450,เมือง,ระยอง,12.678655,101.265718
ยู เกสท์เฮาส์,560,เมือง,สมุทรสาคร,13.543877,100.162843
ยูโร รีสอร์ท,560,บ่อพลอย,กาญจนบุรี,14.47921,99.47304
แย้มสรวลเฮ้าส์ รีสอร์ท,560,นิคมพัฒนา,ระยอง,12.817691,101.1439409
รถไฟฟ้า อพาร์ทเม้นท์,500,,กรุงเทพมหานคร,13.78959,100.55388
ร่มไม้ รีสอร์ท ลพบุรี,530,ชัยบาดาล,ลพบุรี,15.078926499999998,101.0002075
ร่มไม้ รีสอร์ท เลาขวัญ,550,เลาขวัญ,กาญจนบุรี,14.623327,99.767616
รสริน การ์เด้นท์ รีสอร์ท 2,560,แก่งคอย,สระบุรี,14.590902,101.02167
รสฤดี อพาร์ทเม้นท์ บ้านบึง,550,,ชลบุรี,13.306324,101.123051
รองรัก รีสอร์ท,450,สรรพยา,ชัยนาท,15.140263,100.26199
รอยัลแลนด์ แม่กลอง,560,เมือง,สมุทรสงคราม,13.408935,100.001772
ระยอง พาเลซ,480,เมือง,ระยอง,12.679954,101.257649
ระยองเฮ้าส์ รีสอร์ท,540,เมือง,ระยอง,12.674656400000002,101.2414364
รักษ์อินน์ รีสอร์ท,560,บางละมุง,ชลบุรี,12.858294,100.930526
รัชฎาพร รีสอร์ท,560,เดิมบางนางบวช,สุพรรณบุรี,14.880153,99.916984
ราชพฤกษ์ พาวิลเลี่ยน,560,เมือง,นครปฐม,13.809368,100.050624
ราชพฤกษ์ รีสอร์ท ลพบุรี,450,เมือง,ลพบุรี,14.797601,100.662571
ราชพฤกษ์ อพาร์ทเม้น สุพรรณบุรี,450,เมือง,สุพรรณบุรี,14.466598,100.131041
ราชันเฮ้าส์,540,บางพลัด,กรุงเทพมหานคร,13.775045,100.489258
ราษฎร์บำรุง อพาร์ทเม้นต์,480,เมือง,ระยอง,12.68007,101.254515
ริมธารา รีสอร์ท บ้านโป่ง,560,บ้านโป่ง,ราชบุรี,13.825521,99.853847
ริมน้ำ สุขสวัสดิ์70,560,,สมุทรปราการ,13.641152,100.520338
ริมบึงสวนพริก รีสอร์ท,530,ท่าเรือ,พระนครศรีอยุธยา,14.540238,100.710872
ริมเมือง รีสอร์ท,560,พนมสารคาม,ฉะเชิงเทรา,13.674074,101.428995
ริเวอร์ นครปฐม 1,520,เมือง,นครปฐม,13.807303,100.047296
ริเวอร์ เรสซิเดนซ์2 สระบุรี,560,เมือง,สระบุรี,14.538801,100.948553
ริเวอร์ฮิวล์ ปลวกแดง,560,ปลวกแดง,ระยอง,12.9366,101.245177
ริเวียร่า รีสอร์ท พัทยา,560,บางละมุง,ชลบุรี,12.960544,100.891068
รีสอร์ท คุณชาย,560,หนองใหญ่,ชลบุรี,13.094234,101.28109
รีสอร์ทเรือนไม้ เขาช่องพราน,560,โพธาราม,ราชบุรี,13.715425,99.771238
รุ้งทอง รีสอร์ท,560,บ้านหมี่,ลพบุรี,15.2199589,100.6200183
รุ่งทิพย์ รีสอร์ท,450,เมือง,กาญจนบุรี,14.038815,99.525433
เรดดอร์ส กรีน เกษตร นวมินทร์,560,,กรุงเทพมหานคร,13.83589635362422,100.60122684092858
เรดไบค์ รีสอร์ท,530,พนมสารคาม,ฉะเชิงเทรา,13.737053,101.372568
เรดฟิช รีสอร์ท,560,หันคา,ชัยนาท,14.981334,100.020967
เรส์ต ทเวนตี้โฟร์,560,ด่านช้าง,สุพรรณบุรี,14.841181,99.692838
เรือนแก้วเจ้าจอม รีสอร์ท,460,เฉลิมพระเกียรติ,สระบุรี,14.603936,100.917357
เรือนชมดาว รีสอร์ท,560,จอมบึง,ราชบุรี,13.622482,99.604699
เรือนชาญวิทย์,560,โพธาราม,ราชบุรี,13.721775,99.77607
เรือนนภสร,560,กบินทร์บุรี,ปราจีนบุรี,14.009463,101.704702
เรือนรักรีสอร์ท บ่อทอง,510,บ่อทอง,ชลบุรี,13.296566,101.43447
โรงแรม บายพาส แอนด์ รีสอร์ท,560,เมือง,กาญจนบุรี,14.039238,99.536523
ไร่ฉันเอง รีสอร์ท,540,ด่านช้าง,สุพรรณบุรี,14.837731,99.704041
ลพบุรี เรสซิเดนซ์,560,เมือง,ลพบุรี,14.7946786,100.6355666
ลลิตา รีสอร์ท บางไทร,450,บางไทร,พระนครศรีอยุธยา,14.249767,100.493663
ลอตเต้ รีสอร์ท,560,สองพี่น้อง,สุพรรณบุรี,14.292123,100.060126
ล้อฮงไถ่เพลส,540,เมือง,ลพบุรี,14.779162,100.670463
ละมัยโฮม,560,คลองหลวง,ปทุมธานี,14.084944,100.65941
ลัดดาเพลส,560,วังทองหลาง,กรุงเทพมหานคร,13.787695,100.611036
ลาดสวาย รีสอร์ท,560,ลำลูกกา,ปทุมธานี,13.963447,100.664235
ล้านนา รีสอร์ท สองพี่น้อง,480,สองพี่น้อง,สุพรรณบุรี,14.216252,100.011418
ลาลูน่า ริเวอร์ เฮ้าส์,480,เมือง,จันทบุรี,12.610589,102.114507
ล่ำสันต์ เรสซิเดนท์,560,เมือง,ฉะเชิงเทรา,13.660994,101.093026
ลิขิต เพลส,370,บางกะปิ,กรุงเทพมหานคร,13.752087,100.647866
ลิตเติ้ลปาร์ค,560,เมือง,ระยอง,12.6770237,101.2346262
ลีลาวดี ปราจีนบุรี,450,เมือง,ปราจีนบุรี,14.092615,101.371294
ลีลาวดี รีสอร์ท บางปะกง,560,บางปะกง,ฉะเชิงเทรา,13.551232,100.938003
เลควิว รีสอรท์ ปลวกแดง,560,ปลวกแดง,ระยอง,12.9367785,101.2449435
เลอเม เรสซิเดนซ์,560,เขาย้อย,เพชรบุรี,13.22954,99.824292
เลิศทรัพย์ โฮเต็ล,560,เมือง,สระบุรี,14.564198,100.968341
เลิศศรี โฮเทล,470,เมือง,สุพรรณบุรี,14.481262,100.066901
วนิลา ริเวอร์,560,เมือง,ราชบุรี,13.539097,99.821402
วรดา รีสอร์ท สัตหีบ,530,สัตหีบ,ชลบุรี,12.777071,100.940728
วังน้อย รีสอร์ท,550,วังน้อย,พระนครศรีอยุธยา,14.24418397611024,100.74906262302306
วังน้ำฮิลล์,560,,ฉะเชิงเทรา,13.6091102,101.2586351
วังน้ำฮิลล์,560,แปลงยาว,ฉะเชิงเทรา,13.609545,101.258638
วังปลา รีสอร์ท จันทบุรี,410,เมือง,จันทบุรี,12.631822,102.104973
วัฒนะทรัพย์แมนชั่น,530,เมือง,สุพรรณบุรี,14.483972,100.125582
วัฒนาเฮาส์,450,ท่ายาง,เพชรบุรี,12.963851,99.897936
วันเพ็ญ อพาร์ตเมนต์,560,สองพี่น้อง,สุพรรณบุรี,14.224322,100.025991
วัลลิสุต โฮเต็ล,550,เมือง,นนทบุรี,13.857991,100.535112
วาเลนไทน์ รีสอร์ท อู่ทอง,480,อู่ทอง,สุพรรณบุรี,14.34829,99.877639
วาเลนไทน์ สระบุรี,560,เฉลิมพระเกียรติ,สระบุรี,14.674404,100.867641
วิกเก็ต ไวท์ วิลล่า,560,โพธาราม,ราชบุรี,13.702281,99.855803
วิชัยเพลส 77,560,อุทัย,พระนครศรีอยุธยา,14.352008,100.605286
วิเศษ โฮเต็ล,560,เมือง,ฉะเชิงเทรา,13.681832,101.052906
วีเค เพลส 2 สระบุรี,470,เมือง,สระบุรี,14.536641,100.888637
วีเค เพลส สระบุรี,460,เมือง,สระบุรี,14.548122,100.909549
วีเค แอนด์ เรสซิเดนซ์ กาญจนบุรี,550,เมือง,กาญจนบุรี,14.027967,99.533672
วีพี รีสอร์ท ราชบุรี,560,เมือง,ราชบุรี,13.516079,99.827208
วีรสุดา คอนโดเทล,560,เมือง,ราชบุรี,13.534188,99.815363
เวนีเซีย รีสอร์ท สาขา ซอย รามอินทรา 14,560,บางเขน,กรุงเทพมหานคร,13.846558,100.646736
เวลลิงตัน ระยอง,530,เมือง,ระยอง,12.6167058,101.38151889999999
เวียงคำรีสอร์ท ชลบุรี,560,พนัสนิคม,ชลบุรี,13.460111,101.161617
เวียงวลี,520,เมือง,ระยอง,12.6780466,101.2630541
ศรแดง รีสอร์ท,460,บ่อทอง,ชลบุรี,13.268991,101.437844
ศรีธิคำ​ เรสซิเดนซ์,560,บางละมุง,ชลบุรี,12.95821,100.910646
ศิรสิทธิ์ แมนชั่น,470,เมือง,เพชรบุรี,13.114169,99.928141
ศิราภา เรสซิเด้นท์,560,เมือง,ฉะเชิงเทรา,13.658981,101.088061
ศิวพฤกษ์เพลส,560,,นนทบุรี,13.8431323,100.4829955
ศิวพฤกษ์เพลส,560,เมือง,นนทบุรี,13.84335,100.483069
ส.บุญยงค์  ทองผาภูมิ,480,ทองผาภูมิ,กาญจนบุรี,14.74755,98.630886
ส.เสาวณีย์ อพาร์ทเม้นท์ พัทยา,560,บางละมุง,ชลบุรี,12.951567,100.912793
สกายส์อินน์ รีสอร์ท,500,โคกสำโรง,ลพบุรี,15.07019,100.757857
สกุลเพลส,560,เมือง,สมุทรปราการ,13.64088,100.635771
สงวนทอง รีสอร์ท,530,พนมสารคาม,ฉะเชิงเทรา,13.752933,101.497115
สตาร์ 3 เซอร์วิสอพาร์ทเมนท์,560,เมือง,ระยอง,12.686989,101.271377
สนานวรรณ โฮมเทล,560,บางพลี,สมุทรปราการ,13.604253,100.715307
สบายใจ รีสอร์ท 2 บางปะอิน,560,บางปะอิน,พระนครศรีอยุธยา,14.269581,100.624265
สบายดี รีสอร์ท ชัยนาท,450,สรรคบุรี,ชัยนาท,15.092848,100.145072
สบายดี รีสอร์ท หนองปรือ,480,หนองปรือ,กาญจนบุรี,14.610645,99.446243
สบายดี เรสซิเด้นท์ บางบัวทอง,560,บางบัวทอง,นนทบุรี,13.915378,100.424274
สบายรีสอร์ท อู่ทอง,560,อู่ทอง,สุพรรณบุรี,14.355279,99.880245
สบายโฮเต็ล ลพบุรี,440,ท่าวุ้ง,ลพบุรี,14.809921,100.568885
สมจิตร อพาร์ทเม้นท์,560,ปลวกแดง,ระยอง,12.9851592,101.0980885
สมใจนึก รีสอร์ท 2,560,ปลวกแดง,ระยอง,12.9717768,101.1694642
สมนึก ห้องพัก,560,แกลง,ระยอง,12.659666,101.569979
สมบัติ รีสอร์ท ไทรน้อย,560,ไทรน้อย,นนทบุรี,13.96626,100.347507
สมาย เฮ้าส์ ราชบุรี,560,เมือง,ราชบุรี,13.535172,99.826424
สมาร์ท เพลส,530,เมือง,ราชบุรี,13.520676,99.813201
สรรพยา รีสอร์ท,500,สรรพยา,ชัยนาท,15.127077,100.264416
สระกระโจม รีสอร์ท,560,ดอนเจดีย์,สุพรรณบุรี,14.640281,99.878328
สระกระโจม รีสอร์ท สมายล์,560,ดอนเจดีย์,สุพรรณบุรี,14.649562,99.916802
สระบุรี การ์เด้น รีสอร์ท,560,เมือง,สระบุรี,14.547516,100.932246
สราญสุข แกรนด์ วีไอพี,480,เมือง,พระนครศรีอยุธยา,14.352457,100.53805
สโรชา รีสอร์ท ระยอง,540,เมือง,ระยอง,12.6906524,101.2999835
สลีป บาย มี ราชบุรี,530,เมือง,ราชบุรี,13.535823,99.796667
สลีปบ็อกซ์ แก่งคอย,560,แก่งคอย,สระบุรี,14.611996,101.008339
สวนไผ่ รีสอร์ท หนองมะโมง,400,หนองมะโมง,ชัยนาท,15.274401,99.827544
สวนพฤกษศาสตร์พุแค,560,เฉลิมพระเกียรติ,สระบุรี,14.670537,100.886456
สวนเมืองจันท์ รีสอร์ท,560,เมือง,จันทบุรี,12.612829,102.149078
สวนไมตรีจิต รีสอร์ท,560,คลองสามวา,กรุงเทพมหานคร,13.888912,100.735316
สวนอิงจันท์ รีสอร์ท,560,มะขาม,จันทบุรี,12.830321,102.263898
สว่างจิตต์ รีสอร์ท,560,ชะอำ,เพชรบุรี,12.820688,99.933299
สวีท อินน์ รีสอร์ท โฮเทล,560,บางปะหัน,พระนครศรีอยุธยา,14.404916,100.541609
สวีทฮัก,560,เมือง,สุพรรณบุรี,14.49092,100.13182
สอนไลโฮมสเตย์,560,ท่าตะเกียบ,ฉะเชิงเทรา,13.46255,101.666065
สัตหีบ 9 บูติก,560,สัตหีบ,ชลบุรี,12.670318,100.908665
สันติ รีสอร์ท สระบุรี,560,หนองแค,สระบุรี,14.390586,100.926818
สันติสุขเพลส,560,เมือง,ปราจีนบุรี,14.093133,101.386372
สายธารรีสอร์ท บ่อวิน,450,ศรีราชา,ชลบุรี,13.035983,101.119243
สิริ โสธร อพาร์ทเม้นท์,540,เมือง,ฉะเชิงเทรา,13.68206,101.051376
สิรินเพลส เซอร์วิส เรสซิเดนซ์,560,ศรีราชา,ชลบุรี,13.155841,100.976651
สีสัน รีสอร์ท,480,หนองม่วง,ลพบุรี,15.24138,100.653029
สุ รีสอร์ท,560,คลองหลวง,ปทุมธานี,14.06571,100.682424
สุ รีสอร์ท 2,440,คลองหลวง,ปทุมธานี,14.06546,100.681958
สุข สมปอง เพลส,560,บางปะกง,ฉะเชิงเทรา,13.486719,101.037179
สุขกาย ริเวอร์วิว,500,เสนา,พระนครศรีอยุธยา,14.321289,100.417574
สุขใจ รีสอร์ท ชลบุรี,560,บางละมุง,ชลบุรี,12.855098,100.946112
สุขทวี,550,เขาสมิง,ตราด,12.374372,102.374893
สุขมาก อพาร์ทเม้นท์,500,เมือง,สุพรรณบุรี,14.464335,100.139751
สุขสบาย อินน์ รีสอร์ท,560,เมือง,ราชบุรี,13.560826,99.780041
สุขสมปองรีสอร์ท กบินทร์บุรี,530,กบินทร์บุรี,ปราจีนบุรี,13.9732853,101.8391789
สุขอนันต์ อพาร์ทเมนท์ 2,470,เมือง,สระบุรี,14.521861,100.917208
สุขอนันต์ อพาร์ทเมนท์1(หลังโลตัส),480,เมือง,สระบุรี,14.522873,100.924084
สุปราณีเพลส,560,บางกะปิ,กรุงเทพมหานคร,13.768909,100.664151
สุพรรณนารา บูติค อพาร์ทเม้นท์,560,เมือง,สุพรรณบุรี,14.467705,100.126634
สุพรรณภูมิ รีสอร์ท,520,สามชุก,สุพรรณบุรี,14.751441,100.09474
สุพัตรา รีสอร์ท,510,วังม่วง,สระบุรี,14.859586,101.110171
สุภาสิริ รีสอร์ท สุพรรณบุรี,540,หนองหญ้าไซ,สุพรรณบุรี,14.816766,99.700577
สุริย แมนชั่น,560,บางกรวย,นนทบุรี,13.815428,100.4615451
สุรีย์การ์เด้น,530,กำแพงแสน,นครปฐม,14.022974,99.992148
สุวัธชัย การ์เด้น,560,เมือง,สมุทรปราการ,13.604537,100.596934
เสกทรัพย์ เพลส,560,เมือง,พระนครศรีอยุธยา,14.341291,100.591464
แสงเกษตร รีสอร์ท,560,ประจันตคาม,ปราจีนบุรี,14.1290186,101.4916583
แสงจันทร์วิว,460,เมือง,กาญจนบุรี,14.032211,99.560994
แสงเทียน รีสอร์ท สระบุรี,560,เมือง,สระบุรี,14.526815,100.916475
แสนสุข รีสอร์ท กบินทร์,540,กบินทร์บุรี,ปราจีนบุรี,14.014152,101.766399
